categoria,subcategoria,nombre,precio,url,tienda
Arcillas,Arcillas alta temperatura,"PT/CHF Pasta Terracota Chamotada 0 - 0,5 12,5Kg PA84PTCHF",8.17,https://anper.net/productos/286/arcilla-baja-temperatura/pt-chf-pasta-terracota-chamotada-0-0-5-12-5kg-pa84ptchf,Anper
Bizcocho,Azulejos,"BI006194 15x15x0,8 Baldosa blanca bizcochada",0.6,https://anper.net/productos/520/baldosas/bi006194-15x15x0-8-baldosa-blanca-bizcochada,Anper
Bizcocho,Azulejos,"BI006196 15x15x0,5 Baldosa bizcochada roja",0.97,https://anper.net/productos/521/baldosas/bi006196-15x15x0-5-baldosa-bizcochada-roja,Anper
Bizcocho,Azulejos,"BI006197 15x15x0,5 Baldosa blanca bizcochada",0.65,https://anper.net/productos/511/baldosas/bi006197-15x15x0-5-baldosa-blanca-bizcochada,Anper
Bizcocho,Azulejos,"BI006198 20x20x0,7 Baldosa bizcochada roja",1.89,https://anper.net/productos/512/baldosas/bi006198-20x20x0-7-baldosa-bizcochada-roja,Anper
Bizcocho,Azulejos,"BI006199 15x15x0,8 Baldosa bisbal engalbada bizcochada",1.16,https://anper.net/productos/513/baldosas/bi006199-15x15x0-8-baldosa-bisbal-engalbada-bizcochada,Anper
Bizcocho,Azulejos,"BI006200 20x20x0,9 Baldosa bisbal engalbada bizcochada",1.67,https://anper.net/productos/514/baldosas/bi006200-20x20x0-9-baldosa-bisbal-engalbada-bizcochada,Anper
Bizcocho,Azulejos,"BI006201 10x10x0,8 Baldosa bisbal engalbada bizcochada",0.75,https://anper.net/productos/515/baldosas/bi006201-10x10x0-8-baldosa-bisbal-engalbada-bizcochada,Anper
Bizcocho,Azulejos,"BI006202 11x11x0,52 Baldosa blanca bizcochada",0.54,https://anper.net/productos/522/baldosas/bi006202-11x11x0-52-baldosa-blanca-bizcochada,Anper
Bizcocho,Azulejos,"BI006204 15x15x0,65 Baldosa bizcochada roja",1.07,https://anper.net/productos/973/baldosas/bi006204-15x15x0-65-baldosa-bizcochada-roja,Anper
Bizcocho,Azulejos,"BI006205 15x15x0,8 Baldosa Bisbal bizcochada Roja",1.16,https://anper.net/productos/523/baldosas/bi006205-15x15x0-8-baldosa-bisbal-bizcochada-roja,Anper
Bizcocho,Azulejos,"BI006206 20x20x0,9 Baldosa Bisbal Bizcochada",1.89,https://anper.net/productos/524/baldosas/bi006206-20x20x0-9-baldosa-bisbal-bizcochada,Anper
Horno,Material de estibado para el horno,HPI005036 Soporte bisutería (113x160x60 mm) Incluye 5 hilos de Diámetro 3mm,33.0,https://anper.net/productos/557/complementos/hpi005036-soporte-bisuteria-113x160x60-mm-incluye-5-hilos-de-diametro-3mm,Anper
Horno,Material de estibado para el horno,HPI005037 Hilo para hornear bisutería 200mm x 2 mm,1.8,https://anper.net/productos/558/complementos/hpi005037-hilo-para-hornear-bisuteria-200mm-x-2-mm,Anper
Horno,Material de estibado para el horno,HPI005038 Hilo para hornear bisutería 200mm x 3 mm,2.35,https://anper.net/productos/559/complementos/hpi005038-hilo-para-hornear-bisuteria-200mm-x-3-mm,Anper
Varios,no tiene,UT846670 ASA TETERA 100 mm Bamboo,4.05,https://anper.net/productos/85/complementos/ut846670-asa-tetera-100-mm-bamboo,Anper
Varios,no tiene,UT846671 ASA TETERA 125 mm Bamboo,4.55,https://anper.net/productos/86/complementos/ut846671-asa-tetera-125-mm-bamboo-,Anper
Varios,no tiene,UT846672 ASA TETERA 150 mm Bamboo,4.45,https://anper.net/productos/87/complementos/ut846672-asa-tetera-150-mm-bamboo-,Anper
Varios,no tiene,UTAR7002 Maniquí­ 30cm masculino,9.45,https://anper.net/productos/88/complementos/utar7002-maniqui-30cm-masculino,Anper
Varios,no tiene,UTAR7002-1 Maniquí 30cm femenino,9.45,https://anper.net/productos/89/complementos/utar7002-1-maniqui-30cm-femenino-,Anper
Varios,no tiene,UTAR7003 Mano articulada 25cm izquierda,26.0,https://anper.net/productos/90/complementos/utar7003-mano-articulada-25cm-izquierda-,Anper
Varios,no tiene,UTAR7003-1 Mano articulada 25cm derecha,26.0,https://anper.net/productos/91/complementos/utar7003-1-mano-articulada-25cm-derecha-,Anper
Horno,Accesorios Gas GLP,UT840312 Kit quemador completo Raku 25.000Kcal,285.0,https://anper.net/productos/144/construccion-de-hornos/ut840312-kit-quemador-completo-raku,Anper
Horno,Accesorios Gas GLP,UT840312-1 Quemador Acodado GLP 25.000Kcal,198.94,https://anper.net/productos/402/construccion-de-hornos/ut840312-1-quemador-acodado-glp-25-000kcal,Anper
Horno,Accesorios Gas GLP,UT840312-2 Regulador Ps 0 - 3bar 15Kg/h,56.87,https://anper.net/productos/403/construccion-de-hornos/ut840312-2-regulador-ps-0-3bar-15kg-h-,Anper
Horno,Accesorios Gas GLP,UT840312-3 Salida libre botella GLP,19.55,https://anper.net/productos/404/construccion-de-hornos/ut840312-3-salida-libre-botella-glp,Anper
Horno,Accesorios Gas GLP,UT840312-4 Flexible 150 cms T20-150 x T20-150,21.31,https://anper.net/productos/405/construccion-de-hornos/ut840312-4-flexible-150-cms-t20-150-x-t20-150,Anper
